arrivalTime,serviceTime,waitTime,startTime,endTime
1,6,0,1,7
4,9,0,4,13
8,8,0,8,16
10,5,3,10,18
16,6,0,16,22
18,8,0,18,26
20,6,2,20,28
22,6,4,22,32
27,8,1,27,36
31,8,1,31,40
34,9,2,34,45
37,5,3,37,45
40,8,5,40,53
44,5,1,44,50
46,6,4,46,56
50,5,3,50,58
52,9,4,52,65
54,5,4,54,63
58,9,5,58,72
62,7,3,62,72
66,9,6,66,81
68,6,4,68,78
72,5,6,72,83
75,6,6,75,87
81,6,2,81,89
82,6,5,82,93
84,7,5,84,96
88,7,5,88,100
91,9,5,91,105
96,5,4,96,105
101,25,4,101,130
104,7,1,104,112
109,6,3,109,118
112,6,6,112,124
116,5,8,116,129
119,8,10,119,137
124,8,6,124,138
128,6,9,128,143
132,9,6,132,147
136,5,7,136,148
138,7,9,138,154
144,7,4,144,155
147,7,7,147,161
152,8,3,152,163
157,7,4,157,168
159,9,4,159,172
164,7,4,164,175
169,6,3,169,178
173,6,2,173,181
175,8,3,175,186
178,5,3,178,186
181,8,5,181,194
183,5,3,183,191
187,5,4,187,196
191,6,3,191,200
195,6,1,195,202
199,9,1,199,209
202,5,0,202,207
205,7,2,205,214
208,5,1,208,214
212,5,2,212,219
214,6,0,214,220
218,9,1,218,228
220,8,0,220,228
224,8,4,224,236
228,7,0,228,235
232,6,3,232,241
235,6,1,235,242
238,6,3,238,247
243,5,0,243,248
246,5,1,246,252
251,8,0,251,259
253,5,0,253,258
259,5,0,259,264
265,9,0,265,274
267,7,0,267,274
271,5,3,271,279
275,8,0,275,283
278,6,1,278,285
282,7,1,282,290
285,8,0,285,293
287,5,3,287,295
288,8,5,288,301
290,5,5,290,300
294,8,6,294,308
297,7,4,297,308
301,7,7,301,315
303,9,5,303,317
307,9,8,307,324
311,7,6,311,324
315,6,9,315,330
318,6,6,318,330
322,8,8,322,338
326,9,4,326,339
330,5,8,330,343
334,6,5,334,345
338,8,5,338,351
341,9,4,341,354
344,8,7,344,359
347,6,7,347,360
350,5,9,350,364
352,5,8,352,365
358,6,6,358,370
361,6,4,361,371
365,6,5,365,376
368,8,3,368,379
373,5,3,373,381
376,7,3,376,386
379,6,2,379,387
383,6,3,383,392
387,6,0,387,393
391,6,1,391,398
396,9,0,396,405
399,5,0,399,404
403,9,1,403,413
405,7,0,405,412
409,8,3,409,420
411,8,2,411,421
415,6,5,415,426
418,8,3,418,429
420,5,6,420,431
423,5,6,423,434
425,7,6,425,438
429,5,5,429,439
431,8,7,431,446
432,7,7,432,446
436,9,10,436,455
440,7,6,440,453
443,9,10,443,462
446,9,9,446,464
448,6,14,448,468
452,9,12,452,473
455,7,13,455,475
458,9,15,458,482
460,5,15,460,480
462,6,18,462,486
465,6,17,465,488
470,6,16,470,492
472,8,16,472,496
476,6,16,476,498
479,7,17,479,503
482,7,16,482,505
485,6,18,485,509
487,8,18,487,513
490,5,19,490,514
494,5,19,494,518
498,6,16,498,520
502,6,16,502,524
506,5,14,506,525
509,7,15,509,531
513,9,12,513,534
517,6,14,517,537
520,7,14,520,541
525,9,12,525,546
527,9,14,527,550
532,6,14,532,552
537,7,13,537,557
540,8,12,540,560
542,7,15,542,564
546,9,14,546,569
550,9,14,550,573
553,5,16,553,574
557,5,16,557,578
560,9,14,560,583
563,9,15,563,587
566,5,17,566,588
569,5,18,569,592
572,6,16,572,594
575,6,17,575,598
578,6,16,578,600
583,6,15,583,604
587,8,13,587,608
590,6,14,590,610
594,9,14,594,617
599,6,11,599,616
603,5,13,603,621
608,8,9,608,625
611,8,10,611,629
615,5,10,615,630
619,8,10,619,637
622,6,8,622,636
627,6,9,627,642
631,6,6,631,643
633,5,9,633,647
634,6,9,634,649
636,6,11,636,653
640,8,9,640,657
643,7,10,643,660
646,6,11,646,663
649,7,11,649,667
652,8,11,652,671
655,6,12,655,673
660,5,11,660,676
664,6,9,664,679
668,6,8,668,682
671,5,8,671,684
673,6,9,673,688
676,8,8,676,692
679,6,9,679,694
684,5,8,684,697
690,6,4,690,700
693,6,4,693,703
696,7,4,696,707
699,6,4,699,709
704,6,3,704,713
708,5,1,708,714
711,9,2,711,722
715,6,0,715,721
718,6,3,718,727
722,7,0,722,729
727,6,0,727,733
731,5,0,731,736
734,9,0,734,743
737,9,0,737,746
741,9,2,741,752
744,8,2,744,754
748,8,4,748,760
753,5,1,753,759
755,9,4,755,768
759,6,1,759,766
764,7,2,764,773
766,5,2,766,773
770,7,3,770,780
773,5,0,773,778
776,9,2,776,787
779,6,1,779,786
782,7,4,782,793
786,6,1,786,793
790,5,3,790,798
794,9,0,794,803
799,8,0,799,807
803,5,0,803,808
808,6,0,808,814
812,5,0,812,817
814,8,0,814,822
817,9,0,817,826
819,8,3,819,830
825,9,1,825,835
828,7,2,828,837
829,9,6,829,844
831,9,6,831,846
835,8,9,835,852
838,6,8,838,852
842,5,10,842,857
847,9,5,847,861
849,7,8,849,864
852,7,9,852,868
857,6,7,857,870
861,7,7,861,875
864,5,6,864,875
