arrivalTime,serviceTime,waitTime,startTime,endTime
3,6,0,3,9
8,6,0,8,14
11,8,0,11,19
14,7,0,14,21
18,8,1,18,27
22,7,0,22,29
26,6,1,26,33
29,7,0,29,36
32,6,1,32,39
37,6,0,37,43
40,9,0,40,49
45,8,0,45,53
49,9,0,49,58
51,7,2,51,60
56,7,2,56,65
59,6,1,59,66
61,8,4,61,73
64,6,2,64,72
67,8,5,67,80
69,6,4,69,79
72,7,7,72,86
75,5,5,75,85
78,6,7,78,91
79,6,7,79,92
82,8,9,82,99
84,6,8,84,98
88,6,10,88,104
93,5,6,93,104
96,7,8,96,111
99,6,5,99,110
102,7,8,102,117
107,8,4,107,119
112,6,5,112,123
117,5,2,117,124
120,6,3,120,129
123,8,1,123,132
129,6,0,129,135
134,5,0,134,139
138,5,0,138,143
140,6,0,140,146
145,9,0,145,154
150,8,0,150,158
155,8,0,155,163
157,8,1,157,166
161,6,2,161,169
163,7,3,163,173
166,7,3,166,176
170,7,3,170,180
172,7,4,172,183
175,8,5,175,188
178,9,5,178,192
181,5,7,181,193
183,7,9,183,199
186,7,7,186,200
190,8,9,190,207
194,5,6,194,205
200,6,5,200,211
206,7,1,206,214
208,5,3,208,216
212,7,2,212,221
216,9,0,216,225
220,8,1,220,229
222,9,3,222,234
226,8,3,226,237
232,6,2,232,240
236,7,1,236,244
237,7,3,237,247
239,7,5,239,251
244,9,3,244,256
247,9,4,247,260
251,7,5,251,263
254,5,6,254,265
256,8,7,256,271
258,9,7,258,274
260,5,11,260,276
263,6,11,263,280
267,7,9,267,283
273,9,7,273,289
276,7,7,276,290
279,6,10,279,295
284,8,6,284,298
288,9,7,288,304
291,8,7,291,306
296,6,8,296,310
300,7,6,300,313
304,8,6,304,318
309,6,4,309,319
312,5,6,312,323
318,6,1,318,325
322,5,1,322,328
325,8,0,325,333
330,7,0,330,337
332,6,1,332,339
335,5,2,335,342
339,8,0,339,347
342,8,0,342,350
348,7,0,348,355
350,6,0,350,356
355,7,0,355,362
358,9,0,358,367
363,9,0,363,372
365,5,2,365,372
368,8,4,368,380
371,7,1,371,379
372,9,7,372,388
374,6,6,374,386
377,7,9,377,393
382,7,6,382,395
385,8,8,385,401
388,7,7,388,402
392,5,9,392,406
397,8,5,397,410
401,7,5,401,413
405,6,5,405,416
407,8,6,407,421
409,6,7,409,422
411,5,10,411,426
413,7,9,413,429
415,8,11,415,434
418,8,11,418,437
421,7,13,421,441
424,7,13,424,444
428,8,13,428,449
431,9,13,431,453
434,5,15,434,454
439,5,14,439,458
444,7,10,444,461
447,6,11,447,464
449,6,12,449,467
451,7,13,451,471
454,5,13,454,472
457,6,14,457,477
460,8,12,460,480
464,5,13,464,482
469,5,11,469,485
472,8,10,472,490
476,9,9,476,494
480,6,10,480,496
486,8,8,486,502
488,5,8,488,501
490,8,11,490,509
492,9,10,492,511
498,5,11,498,514
502,6,9,502,517
506,9,8,506,523
509,7,8,509,524
513,9,10,513,532
517,9,7,517,533
521,7,11,521,539
523,9,10,523,542
528,6,11,528,545
532,8,10,532,550
534,7,11,534,552
537,9,13,537,559
540,7,12,540,559
544,6,15,544,565
548,5,11,548,564
554,6,10,554,570
556,5,9,556,570
558,9,12,558,579
559,7,11,559,577
564,9,13,564,586
566,5,13,566,584
571,8,13,571,592
576,9,10,576,595
580,7,12,580,599
586,9,9,586,604
588,6,11,588,605
592,8,12,592,612
596,8,9,596,613
598,8,14,598,620
603,5,10,603,618
606,7,12,606,625
610,9,10,610,629
613,9,12,613,634
617,5,12,617,634
620,5,14,620,639
625,6,9,625,640
627,7,12,627,646
631,8,9,631,648
634,6,12,634,652
637,9,11,637,657
642,8,10,642,660
646,6,11,646,663
648,6,12,648,666
652,6,11,652,669
656,8,10,656,674
660,7,9,660,676
664,9,10,664,683
669,6,7,669,682
672,6,10,672,688
676,7,7,676,690
680,9,8,680,697
684,5,6,684,695
687,6,8,687,701
692,7,5,692,704
697,6,4,697,707
700,9,4,700,713
703,5,4,703,712
706,7,6,706,719
709,7,4,709,720
712,9,7,712,728
716,5,4,716,725
722,6,3,722,731
725,5,3,725,733
728,6,3,728,737
731,6,2,731,739
736,7,1,736,744
739,7,0,739,746
741,6,3,741,750
745,7,1,745,753
750,9,0,750,759
753,6,0,753,759
759,7,0,759,766
762,5,0,762,767
767,6,0,767,773
771,6,0,771,777
774,7,0,774,781
776,5,1,776,782
780,8,1,780,789
783,8,0,783,791
786,8,3,786,797
790,6,1,790,797
794,7,3,794,804
796,5,1,796,802
800,5,2,800,807
803,6,1,803,810
805,7,2,805,814
809,9,1,809,819
811,6,3,811,820
816,7,3,816,826
819,7,1,819,827
822,6,4,822,832
824,8,3,824,835
827,5,5,827,837
830,5,5,830,840
835,9,2,835,846
838,9,2,838,849
840,8,6,840,854
842,9,7,842,858
845,6,9,845,860
847,5,11,847,863
851,5,9,851,865
854,7,9,854,870
857,5,8,857,870
860,5,10,860,875
863,5,7,863,875
865,9,10,865,884
868,8,7,868,883
870,9,13,870,892
