arrivalTime,serviceTime,waitTime,startTime,endTime
4,8,0,4,12
8,8,0,8,16
11,7,1,11,19
16,9,0,16,25
21,5,0,21,26
24,9,1,24,34
26,8,0,26,34
31,5,3,31,39
36,7,0,36,43
39,6,0,39,45
43,9,0,43,52
45,5,0,45,50
48,9,2,48,59
53,7,0,53,60
57,5,2,57,64
62,5,0,62,67
66,6,0,66,72
69,5,0,69,74
71,9,1,71,81
75,6,0,75,81
79,5,2,79,86
82,8,0,82,90
83,7,3,83,93
89,5,1,89,95
91,8,2,91,101
95,9,0,95,104
100,6,1,100,107
105,6,0,105,111
107,5,0,107,112
111,7,0,111,118
116,7,0,116,123
120,9,0,120,129
125,6,0,125,131
128,5,1,128,134
130,7,1,130,138
133,7,1,133,141
138,9,0,138,147
141,8,0,141,149
147,8,0,147,155
149,9,0,149,158
155,7,0,155,162
158,25,0,158,183
163,8,0,163,171
167,8,4,167,179
173,25,6,173,204
178,9,5,178,192
181,6,11,181,198
184,8,14,184,206
187,9,17,187,213
192,8,14,192,214
196,6,17,196,219
200,6,14,200,220
203,9,16,203,228
206,9,14,206,229
211,9,17,211,237
214,7,15,214,236
217,7,19,217,243
221,7,16,221,244
225,6,18,225,249
229,7,15,229,251
234,5,15,234,254
237,5,14,237,256
242,8,12,242,262
246,8,10,246,264
251,5,11,251,267
255,8,9,255,272
257,6,10,257,273
261,5,11,261,277
263,7,10,263,280
266,7,11,266,284
270,6,10,270,286
273,8,11,273,292
278,7,8,278,293
283,9,9,283,301
287,8,6,287,301
290,8,11,290,309
292,9,9,292,310
296,5,13,296,314
299,5,11,299,315
303,5,11,303,319
306,6,9,306,321
309,6,10,309,325
313,6,8,313,327
316,9,9,316,334
318,7,9,318,334
323,6,11,323,340
327,7,7,327,341
329,6,11,329,346
331,5,10,331,346
337,9,9,337,355
339,8,7,339,354
341,8,13,341,362
343,6,12,343,361
347,7,14,347,368
351,6,11,351,368
355,8,13,355,376
358,6,10,358,374
362,5,12,362,379
366,7,10,366,383
371,6,8,371,385
373,8,10,373,391
376,7,9,376,392
381,5,10,381,396
385,6,7,385,398
387,5,9,387,401
391,9,7,391,407
395,8,6,395,409
399,7,8,399,414
402,9,7,402,418
404,9,10,404,423
407,5,11,407,423
410,9,13,410,432
412,8,11,412,431
415,9,16,415,440
418,6,14,418,438
423,8,15,423,446
426,9,14,426,449
429,8,17,429,454
432,7,17,432,456
435,6,19,435,460
439,5,17,439,461
443,7,17,443,467
448,6,13,448,467
452,9,15,452,476
456,8,11,456,475
460,6,15,460,481
463,7,13,463,483
467,9,14,467,490
472,6,11,472,489
476,9,13,476,498
479,5,11,479,495
483,8,12,483,503
486,6,12,486,504
489,5,14,489,508
490,6,14,490,510
493,5,15,493,513
498,5,12,498,515
503,5,10,503,518
507,8,8,507,523
512,8,6,512,526
517,7,6,517,530
520,7,6,520,533
524,5,6,524,535
530,8,3,530,541
534,9,1,534,544
537,9,4,537,550
540,7,4,540,551
543,5,7,543,555
545,9,6,545,560
547,7,8,547,562
550,25,10,550,585
551,5,11,551,567
554,5,13,554,572
558,5,14,558,577
561,7,16,561,584
564,6,20,564,590
566,5,19,566,590
571,6,19,571,596
577,5,13,577,595
580,7,15,580,602
583,7,13,583,603
587,7,15,587,609
590,6,13,590,609
594,7,15,594,616
599,7,10,599,616
603,7,13,603,623
605,9,11,605,625
610,6,13,610,629
616,8,9,616,633
619,8,10,619,637
623,6,10,623,639
626,7,11,626,644
629,8,10,629,647
632,9,12,632,653
635,8,12,635,655
639,8,14,639,661
643,5,12,643,660
645,7,15,645,667
648,5,13,648,666
651,9,15,651,675
655,9,12,655,676
658,7,17,658,682
660,6,16,660,682
664,7,18,664,689
668,6,14,668,688
672,8,16,672,696
675,6,14,675,695
680,7,15,680,702
686,9,10,686,705
690,8,12,690,710
692,6,13,692,711
694,7,16,694,717
696,8,15,696,719
701,6,16,701,723
706,6,13,706,725
710,7,13,710,730
713,5,12,713,730
716,5,14,716,735
718,7,12,718,737
721,5,14,721,740
726,9,11,726,746
730,6,10,730,746
734,8,12,734,754
737,5,9,737,751
742,9,9,742,760
745,6,9,745,760
748,7,12,748,767
750,5,10,750,765
753,7,12,753,772
759,7,8,759,774
761,5,11,761,777
766,6,8,766,780
769,6,8,769,783
772,6,8,772,786
777,7,6,777,790
781,5,5,781,791
784,9,6,784,799
788,6,3,788,797
792,7,5,792,804
798,5,1,798,804
800,7,4,800,811
803,5,1,803,809
809,9,0,809,818
813,6,0,813,819
816,8,2,816,826
821,8,0,821,829
825,9,1,825,835
829,9,0,829,838
833,9,2,833,844
835,7,3,835,845
838,7,6,838,851
843,7,2,843,852
846,5,5,846,856
852,7,0,852,859
858,9,0,858,867
863,6,0,863,869
867,8,0,867,875
870,6,0,870,876
876,6,0,876,882
879,6,0,879,885
881,9,1,881,891
884,9,1,884,894
886,7,5,886,898
889,5,5,889,899
892,5,6,892,903
896,6,3,896,905
901,9,2,901,912
905,5,0,905,910
906,5,4,906,915
909,7,3,909,919
